"Datetime","Item"
"18/10/2016 11:51:10","banana"
"18/10/2016 12:52:29","gluten free double choc biscuits"
"18/10/2016 12:55:21","gluten free brown rice chips"
"18/10/2016 16:50:41","gluten free double choc biscuits"
"18/10/2016 18:33:03","houllumi"
"18/10/2016 18:33:35","cherry tomatoes"
"18/10/2016 18:50:03","olivo wagyu steak"
"18/10/2016 18:50:21","broccoli"
"18/10/2016 18:50:29","asparagus"
"18/10/2016 19:05:01","green beans"
"19/10/2016 01:32:38","INTOLERANCE SYMPTOMS"
"19/10/2016 08:01:47","gluten free cream filled choc biscuits"
"19/10/2016 08:03:02","gluten free munchy muesli cookies"
"19/10/2016 09:55:12","gluten free double choc biscuits"
"19/10/2016 09:55:19","black tea"
"19/10/2016 10:40:57","INTOLERANCE SYMPTOMS"
"19/10/2016 11:11:42","black tea"
"19/10/2016 12:06:59","banana"
"19/10/2016 12:12:59","gluten free double choc biscuits"
"19/10/2016 12:30:33","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed"
"19/10/2016 12:48:33","INTOLERANCE SYMPTOMS"
"19/10/2016 13:00:42","black tea"
"19/10/2016 13:05:44","INTOLERANCE SYMPTOMS"
"19/10/2016 13:08:32","INTOLERANCE SYMPTOMS"
"19/10/2016 14:12:58","INTOLERANCE SYMPTOMS"
"19/10/2016 15:42:09","INTOLERANCE SYMPTOMS"
"19/10/2016 16:09:02","gluten free bread with soy"
"19/10/2016 16:09:08","cold cuts chicken"
"19/10/2016 16:09:15","baby spinach"
"19/10/2016 16:09:33","tasty cheese"
"19/10/2016 17:56:13","peppermint tea"
"19/10/2016 18:21:35","INTOLERANCE SYMPTOMS"
"19/10/2016 18:38:46","gluten free double choc biscuits"
"19/10/2016 19:39:27","peppermint tea"
"19/10/2016 19:40:11","gluten free double choc biscuits"
"19/10/2016 21:35:24","gluten free cream filled choc biscuits"
"19/10/2016 22:06:21","INTOLERANCE SYMPTOMS"
"2/10/2016 09:27:13","eggs"
"2/10/2016 09:27:51","spelt sourdough"
"2/10/2016 09:28:01","baby spinach"
"2/10/2016 09:28:11","feta"
"2/10/2016 09:28:18","tasty cheese"
"2/10/2016 09:28:38","gluten free double choc biscuits"
"2/10/2016 09:49:35","black tea"
"2/10/2016 11:53:54","INTOLERANCE SYMPTOMS"
"2/10/2016 13:06:37","gluten free vienna eclairs"
"2/10/2016 16:24:42","wedding canapes"
"2/10/2016 18:00:00","salmon"
"2/10/2016 18:00:03","oysters"
"2/10/2016 18:00:03","wedding salad"
"2/10/2016 18:00:26","prawns"
"2/10/2016 18:00:38","wedding beef"
"2/10/2016 21:00:29","green tea"
"2/10/2016 21:00:43","wedding cake"
"20/10/2016 08:08:24","gluten free cream filled choc biscuits"
"20/10/2016 11:37:59","gluten free melting moments"
"20/10/2016 12:55:50","peppermint tea"
"20/10/2016 13:08:56","spelt sourdough"
"20/10/2016 13:09:03","crunchy peanut butter"
"20/10/2016 13:19:07","gluten free melting moments"
"20/10/2016 15:00:56","gluten free rice crackers"
"20/10/2016 15:08:29","black tea"
"20/10/2016 16:41:21","gluten free melting moments"
"21/10/2016 05:07:22","gluten free melting moments"
"21/10/2016 08:04:19","beef patties"
"21/10/2016 08:04:24","baby spinach"
"21/10/2016 08:12:45","gluten free melting moments"
"21/10/2016 10:17:37","black tea"
"21/10/2016 10:29:50","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed"
"21/10/2016 11:15:07","banana"
"21/10/2016 11:15:58","gluten free rice crackers"
"21/10/2016 12:08:23","gluten free rice crackers"
"21/10/2016 12:09:33","black tea"
"21/10/2016 14:11:02","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed"
"21/10/2016 18:41:01","spelt sourdough"
"21/10/2016 18:41:09","baby spinach"
"21/10/2016 18:41:16","tasty cheese"
"21/10/2016 18:41:23","cold cuts chicken"
"21/10/2016 18:41:36","low fat mayonnaise"
"21/10/2016 18:41:42","margarine"
"21/10/2016 18:51:11","gluten free cream filled choc biscuits"
"21/10/2016 19:08:51","black tea"
"22/10/2016 07:18:20","eggs"
"22/10/2016 07:18:28","spelt sourdough"
"22/10/2016 07:18:36","baby spinach"
"22/10/2016 07:18:44","tasty cheese"
"22/10/2016 07:18:53","feta"
"22/10/2016 07:26:22","gluten free double choc biscuits"
"22/10/2016 07:38:49","black tea"
"22/10/2016 08:47:24","black tea"
"22/10/2016 09:30:57","gluten free double choc biscuits"
"22/10/2016 09:44:22","black tea"
"22/10/2016 10:11:52","gluten free double choc biscuits"
"22/10/2016 11:14:35","gluten free bread with soy"
"22/10/2016 11:14:47","crunchy peanut butter"
"22/10/2016 11:23:35","gluten free double choc biscuits"
"22/10/2016 13:10:12","gluten free cream filled choc biscuits"
"22/10/2016 13:10:18","black tea"
"22/10/2016 14:38:35","gluten free double choc biscuits"
"22/10/2016 14:38:40","black tea"
"22/10/2016 14:39:29","gluten free rice crackers"
"22/10/2016 16:11:18","spelt sourdough"
"22/10/2016 16:11:25","cold cuts chicken"
"22/10/2016 16:11:33","tasty cheese"
"22/10/2016 16:11:38","margarine"
"22/10/2016 16:11:44","baby spinach"
"22/10/2016 16:31:08","black tea"
"22/10/2016 18:38:15","gluten free munchy muesli cookies"
"22/10/2016 20:47:57","gluten free cream filled choc biscuits"
"22/10/2016 20:51:26","peppermint tea"
"22/10/2016 22:47:14","INTOLERANCE SYMPTOMS"
"23/10/2016 09:06:21","eggs"
"23/10/2016 09:06:26","spelt sourdough"
"23/10/2016 09:06:32","baby spinach"
"23/10/2016 09:06:38","tasty cheese"
"23/10/2016 09:06:43","feta"
"23/10/2016 09:07:12","parmesan cheese"
"23/10/2016 09:10:48","gluten free double choc biscuits"
"23/10/2016 10:47:01","INTOLERANCE SYMPTOMS"
"23/10/2016 11:17:18","gluten free cream filled choc biscuits"
"23/10/2016 11:49:56","spelt sourdough"
"23/10/2016 11:50:02","crunchy peanut butter"
"23/10/2016 11:50:16","black tea"
"23/10/2016 12:53:01","gluten free double choc biscuits"
"23/10/2016 14:00:27","black tea"
"23/10/2016 14:48:07","gluten free double choc biscuits"
"23/10/2016 14:54:56","INTOLERANCE SYMPTOMS"
"23/10/2016 17:57:27","gluten free pizza base"
"23/10/2016 17:57:42","cherry tomatoes"
"23/10/2016 17:57:48","tasty cheese"
"23/10/2016 17:57:53","eggplant"
"23/10/2016 17:57:59","olive oil"
"23/10/2016 17:58:21","tuna"
"23/10/2016 19:07:46","gluten free cream filled choc biscuits"
"24/10/2016 06:50:23","gluten free cream filled choc biscuits"
"24/10/2016 06:53:05","gluten free munchy muesli cookies"
"24/10/2016 06:57:38","gluten free double choc biscuits"
"24/10/2016 08:55:01","black tea"
"24/10/2016 08:56:17","gluten free double choc biscuits"
"24/10/2016 09:38:41","black tea"
"24/10/2016 11:02:43","gluten free pizza base"
"24/10/2016 11:02:49","tasty cheese"
"24/10/2016 11:02:54","eggplant"
"24/10/2016 11:03:00","cherry tomatoes"
"24/10/2016 11:03:10","tuna"
"24/10/2016 11:04:10","baby spinach"
"24/10/2016 11:23:30","black tea"
"24/10/2016 11:50:57","gluten free double choc biscuits"
"24/10/2016 12:48:49","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed"
"24/10/2016 13:45:47","black tea"
"24/10/2016 15:10:23","green tea"
"24/10/2016 15:28:57","gluten free rice crackers"
"24/10/2016 15:56:35","gluten free pizza base"
"24/10/2016 15:56:46","tuna"
"24/10/2016 15:56:51","eggplant"
"24/10/2016 15:56:55","cherry tomatoes"
"24/10/2016 15:57:08","tasty cheese"
"24/10/2016 17:47:02","gluten free pizza base"
"24/10/2016 17:47:15","tuna"
"24/10/2016 17:47:23","cherry tomatoes"
"24/10/2016 17:47:33","eggplant"
"24/10/2016 17:47:40","tasty cheese"
"24/10/2016 17:55:00","chewing gum"
"25/09/2016 09:15:14","eggs"
"25/09/2016 09:15:27","tasty cheese"
"25/09/2016 09:15:36","feta"
"25/09/2016 09:15:45","baby spinach"
"25/09/2016 09:15:56","gluten free bread with soy"
"25/09/2016 09:24:56","dark chocolate"
"25/09/2016 09:35:21","gluten free brown rice chips"
"25/09/2016 10:06:11","black tea"
"25/09/2016 10:41:53","dark chocolate"
"25/09/2016 11:28:51","black tea"
"25/09/2016 13:20:31","INTOLERANCE SYMPTOMS"
"25/09/2016 13:56:32","INTOLERANCE SYMPTOMS"
"25/09/2016 15:16:13","gluten free melting moments"
"25/09/2016 15:24:54","gluten free brown rice chips"
"25/09/2016 17:20:33","INTOLERANCE SYMPTOMS"
"25/09/2016 18:17:01","cherry tomatoes"
"25/09/2016 18:47:05","gluten free pizza base"
"25/09/2016 18:47:50","cherry tomatoes"
"25/09/2016 18:47:56","eggplant"
"25/09/2016 18:48:05","tuna"
"25/09/2016 18:48:13","mozzarella cheese"
"25/09/2016 20:06:03","grapes"
"25/10/2016 08:06:59","gluten free double choc biscuits"
"25/10/2016 08:26:05","green tea"
"25/10/2016 09:34:07","gluten free double choc biscuits"
"25/10/2016 09:57:42","green tea"
"25/10/2016 11:01:39","gluten free rice crackers"
"25/10/2016 11:37:42","gluten free double choc biscuits"
"25/10/2016 12:33:28","chewing gum"
"25/10/2016 12:48:32","gluten free double choc biscuits"
"25/10/2016 16:20:39","gluten free munchy muesli cookies"
"25/10/2016 16:32:22","black tea"
"25/10/2016 17:02:49","cherry tomatoes"
"25/10/2016 17:02:58","gluten free bread with soy"
"25/10/2016 17:03:05","cold cuts chicken"
"25/10/2016 17:03:19","baby spinach"
"25/10/2016 17:03:25","low fat mayonnaise"
"25/10/2016 17:03:36","margarine"
"25/10/2016 18:47:46","gluten free cream filled choc biscuits"
"25/10/2016 20:55:53","INTOLERANCE SYMPTOMS"
"26/09/2016 00:57:26","INTOLERANCE SYMPTOMS"
"26/09/2016 05:16:43","gluten free melting moments"
"26/09/2016 05:21:32","gluten free brown rice chips"
"26/09/2016 06:05:19","peppermint tea"
"26/09/2016 07:51:24","beef sausages with garlic"
"26/09/2016 07:51:55","tasty cheese"
"26/09/2016 09:51:35","gluten free double choc biscuits"
"26/09/2016 09:52:03","green tea"
"26/09/2016 10:25:58","banana"
"26/09/2016 10:50:33","tamari almonds"
"26/09/2016 11:23:10","gluten free double choc biscuits"
"26/09/2016 12:12:49","spelt sourdough"
"26/09/2016 12:13:17","crunchy peanut butter"
"26/09/2016 13:05:58","gluten free double choc biscuits"
"26/09/2016 14:42:35","tamari almonds"
"26/09/2016 15:36:50","vita weat"
"26/09/2016 18:54:28","gluten free pizza base"
"26/09/2016 18:54:42","tuna"
"26/09/2016 18:54:48","cherry tomatoes"
"26/09/2016 18:54:53","mozzarella cheese"
"26/09/2016 18:54:59","baby spinach"
"26/09/2016 18:55:07","parmesan cheese"
"26/09/2016 18:57:26","eggplant"
"26/09/2016 19:29:39","dark chocolate"
"26/10/2016 07:57:58","gluten free cream filled choc biscuits"
"26/10/2016 08:07:10","lamb sausages"
"26/10/2016 10:02:06","black tea"
"26/10/2016 10:56:04","INTOLERANCE SYMPTOMS"
"26/10/2016 11:07:53","black tea"
"26/10/2016 11:19:52","gluten free double choc biscuits"
"26/10/2016 11:34:39","black tea"
"26/10/2016 11:38:15","gluten free cream filled choc biscuits"
"26/10/2016 12:41:17","gluten free cream filled choc biscuits"
"26/10/2016 14:27:27","gluten free munchy muesli cookies with quinoa, buckwheat and chia seed"
"26/10/2016 14:27:36","green tea"
"26/10/2016 16:22:35","gluten free bread with soy"
"26/10/2016 16:22:40","cold cuts chicken"
"26/10/2016 16:22:45","baby spinach"
"26/10/2016 16:22:50","tasty cheese"
"26/10/2016 16:48:50","chewing gum"
"26/10/2016 19:31:10","black tea"
"26/10/2016 21:25:06","gluten free cream filled choc biscuits"
"26/10/2016 22:04:19","INTOLERANCE SYMPTOMS"
"27/09/2016 07:01:11","eggs"
"27/09/2016 07:01:26","baby spinach"
"27/09/2016 07:01:33","feta"
"27/09/2016 07:01:39","tasty cheese"
"27/09/2016 07:01:46","gluten free bread with soy"
"27/09/2016 08:56:46","green tea"
"27/09/2016 08:57:58","INTOLERANCE SYMPTOMS"
"27/09/2016 09:06:24","INTOLERANCE SYMPTOMS"
"27/09/2016 10:05:07","INTOLERANCE SYMPTOMS"
"27/09/2016 10:05:22","green tea"
"27/09/2016 10:05:56","INTOLERANCE SYMPTOMS"
"27/09/2016 10:06:34","banana"
"27/09/2016 11:39:42","spelt sourdough"
"27/09/2016 11:39:54","crunchy peanut butter"
"27/09/2016 12:17:31","gluten free double choc biscuits"
"27/09/2016 12:23:00","gluten free brown rice chips"
"27/09/2016 12:28:05","INTOLERANCE SYMPTOMS"
"27/09/2016 12:31:10","INTOLERANCE SYMPTOMS"
"27/09/2016 13:24:07","INTOLERANCE SYMPTOMS"
"27/09/2016 13:29:08","baked mini moments with wheat"
"27/09/2016 13:37:26","green tea"
"27/09/2016 14:29:36","tamari almonds"
"27/09/2016 14:33:00","gluten free brown rice chips"
"27/09/2016 14:46:13","INTOLERANCE SYMPTOMS"
"27/09/2016 14:46:24","INTOLERANCE SYMPTOMS"
"27/09/2016 14:48:47","gluten free brown rice chips"
"27/09/2016 15:03:46","black tea"
"27/09/2016 15:22:26","INTOLERANCE SYMPTOMS"
"27/09/2016 15:47:19","INTOLERANCE SYMPTOMS"
"27/09/2016 15:53:47","INTOLERANCE SYMPTOMS"
"27/09/2016 18:28:26","gluten free melting moments"
"27/09/2016 19:07:20","gluten free pizza base"
"27/09/2016 19:07:32","cherry tomatoes"
"27/09/2016 19:07:38","eggplant"
"27/09/2016 19:07:42","baby spinach"
"27/09/2016 19:07:46","olive oil"
"27/09/2016 19:07:48","tasty cheese"
"27/09/2016 19:18:57","tuna"
"27/09/2016 19:49:08","dark chocolate"
"27/10/2016 05:44:57","cherry tomatoes"
"27/10/2016 05:45:04","eggs"
"27/10/2016 05:45:09","gluten free bread with soy"
"27/10/2016 05:45:16","baby spinach"
"27/10/2016 05:45:23","tasty cheese"
"27/10/2016 05:45:29","feta"
"27/10/2016 05:57:55","dark chocolate"
"27/10/2016 05:58:00","black tea"
"27/10/2016 09:10:35","black tea"
"27/10/2016 09:30:31","gluten free double choc biscuits"
"27/10/2016 10:03:21","gluten free cream filled choc biscuits"
"27/10/2016 11:34:24","gluten free double choc biscuits"
"27/10/2016 12:01:18","black tea"
"27/10/2016 12:41:24","peppermint tea"
"27/10/2016 12:46:41","gluten free brownie"
"27/10/2016 14:55:27","black tea"
"27/10/2016 18:22:55","gluten free bread with soy"
"27/10/2016 18:23:00","cold cuts chicken"
"27/10/2016 18:23:05","baby spinach"
"27/10/2016 18:23:10","cherry tomatoes"
"27/10/2016 18:23:16","tasty cheese"
"27/10/2016 18:23:21","margarine"
"27/10/2016 18:27:29","dark chocolate"
"27/10/2016 18:43:34","gluten free cream filled choc biscuits"
"28/09/2016 07:22:30","dark chocolate"
"28/09/2016 07:31:49","beef sausages with garlic"
"28/09/2016 07:31:58","tasty cheese"
"28/09/2016 08:02:58","gluten free melting moments"
"28/09/2016 09:17:19","black tea"
"28/09/2016 10:06:48","gluten free munchy muesli cookies"
"28/09/2016 10:17:15","gluten free bread with soy"
"28/09/2016 10:17:38","crunchy peanut butter"
"28/09/2016 10:27:52","black tea"
"28/09/2016 10:57:23","INTOLERANCE SYMPTOMS"
"28/09/2016 11:40:17","gluten free double choc biscuits"
"28/09/2016 12:46:07","gluten free rice crackers"
"28/09/2016 13:36:17","gluten free munchy muesli cookies"
"28/09/2016 14:41:36","gluten free double choc biscuits"
"28/09/2016 15:20:09","peppermint tea"
"28/09/2016 15:56:42","gluten free rice crackers"
"28/09/2016 18:00:54","gluten free double choc biscuits"
"28/09/2016 20:52:04","gluten free pizza base"
"28/09/2016 20:52:18","eggplant"
"28/09/2016 20:52:23","cherry tomatoes"
"28/09/2016 20:52:30","tuna"
"28/09/2016 20:52:36","tasty cheese"
"28/09/2016 21:48:41","dark chocolate"
"28/10/2016 04:18:42","INTOLERANCE SYMPTOMS"
"28/10/2016 04:31:46","lamb sausages"
"28/10/2016 04:51:01","dark chocolate"
"28/10/2016 05:39:17","gluten free cream filled choc biscuits"
"28/10/2016 05:39:25","black tea"
"28/10/2016 06:18:23","black tea"
"28/10/2016 08:51:34","gluten free double choc biscuits"
"28/10/2016 09:48:53","gluten free cream filled choc biscuits"
"28/10/2016 10:46:28","gluten free bread with soy"
"28/10/2016 10:46:37","cold cuts chicken"
"28/10/2016 10:46:43","tasty cheese"
"28/10/2016 10:46:48","baby spinach"
"28/10/2016 11:11:35","black tea"
"28/10/2016 15:25:41","gluten free cream filled choc biscuits"
"28/10/2016 17:17:11","cold cuts chicken"
"28/10/2016 17:17:17","tasty cheese"
"28/10/2016 17:17:23","baby spinach"
"28/10/2016 17:34:27","gluten free cream filled choc biscuits"
"29/09/2016 07:56:55","eggs"
"29/09/2016 07:57:07","tasty cheese"
"29/09/2016 07:57:19","baby spinach"
"29/09/2016 07:57:28","parmesan cheese"
"29/09/2016 07:57:43","gluten free bread with soy"
"29/09/2016 08:00:26","gluten free melting moments"
"29/09/2016 09:56:54","gluten free double choc biscuits"
"29/09/2016 11:37:57","banana"
"29/09/2016 12:37:38","spelt sourdough"
"29/09/2016 12:37:48","crunchy peanut butter"
"29/09/2016 12:42:41","gluten free brown rice chips"
"29/09/2016 12:53:42","banana"
"29/09/2016 12:57:27","green tea"
"29/09/2016 13:06:57","gluten free double choc biscuits"
"29/09/2016 15:22:15","tamari almonds"
"29/09/2016 16:09:07","gluten free double choc biscuits"
"29/09/2016 18:34:47","miso soup"
"29/09/2016 18:46:16","sushi tuna roll"
"29/09/2016 20:42:37","gluten free melting moments"
"29/09/2016 20:47:35","gluten free rice crackers"
"29/09/2016 20:49:32","gluten free double choc biscuits"
"29/10/2016 08:35:17","eggs"
"29/10/2016 08:35:23","gluten free bread with soy"
"29/10/2016 08:35:30","cheese"
"29/10/2016 08:41:14","gluten free cream filled choc biscuits"
"29/10/2016 08:53:38","black tea"
"29/10/2016 09:52:55","gluten free double choc biscuits"
"29/10/2016 09:53:07","black tea"
"29/10/2016 10:52:43","black tea"
"29/10/2016 11:38:27","gluten free bread with soy"
"29/10/2016 11:38:34","cold cuts chicken"
"29/10/2016 11:38:38","baby spinach"
"29/10/2016 11:38:43","baby spinach"
"29/10/2016 12:00:16","black tea"
"29/10/2016 12:41:23","gluten free double choc biscuits"
"29/10/2016 12:52:50","INTOLERANCE SYMPTOMS"
"29/10/2016 12:54:03","black tea"
"29/10/2016 12:58:16","INTOLERANCE SYMPTOMS"
"29/10/2016 14:10:06","gluten free cream filled choc biscuits"
"29/10/2016 14:12:29","black tea"
"29/10/2016 17:16:04","cold cuts chicken"
"29/10/2016 17:16:11","gluten free bread with soy"
"29/10/2016 17:16:17","tasty cheese"
"29/10/2016 17:16:22","baby spinach"
"29/10/2016 17:24:17","salmon"
"29/10/2016 17:37:50","black tea"
"29/10/2016 18:49:51","gluten free double choc biscuits"
"29/10/2016 21:17:30","gluten free cream filled choc biscuits"
